date,snapshot_date,membership_code
2000-06-30,2000-06-29,CCTYQ
2000-06-30,2000-06-29,COC.B
2000-06-30,2000-06-29,DALRQ
2000-06-30,2000-06-29,DCNAQ
2000-06-30,2000-06-29,DPHIQ
2000-06-30,2000-06-29,EKDKQ
2000-06-30,2000-06-29,ENRNQ
2000-06-30,2000-06-29,FMCC
2000-06-30,2000-06-29,FNMA
2000-06-30,2000-06-29,GAPTQ
2000-06-30,2000-06-29,INCLF
2000-06-30,2000-06-29,LEHMQ
2000-06-30,2000-06-29,MTLQQ
2000-06-30,2000-06-29,OWENQ
2000-06-30,2000-06-29,RDS.A
2000-06-30,2000-06-29,RSHCQ
2000-06-30,2000-06-29,UAWGQ
2000-06-30,2000-06-29,VSTNQ
2000-06-30,2000-06-29,WAMUQ
2000-06-30,2000-06-29,WCOEQ
2000-06-30,2000-06-29,WNDXQ
2000-07-31,2000-07-31,AABA
2000-07-31,2000-07-31,AAMRQ
2000-07-31,2000-07-31,ACKH
2000-07-31,2000-07-31,AFS.A
2000-07-31,2000-07-31,AZA.A
2000-07-31,2000-07-31,BF.B
2000-07-31,2000-07-31,BHMSQ
2000-07-31,2000-07-31,CCTYQ
2000-07-31,2000-07-31,CIT.A
2000-07-31,2000-07-31,COC.B
2000-07-31,2000-07-31,DALRQ
2000-07-31,2000-07-31,DCNAQ
2000-07-31,2000-07-31,DPHIQ
2000-07-31,2000-07-31,EKDKQ
2000-07-31,2000-07-31,ENRNQ
2000-07-31,2000-07-31,FMCC
2000-07-31,2000-07-31,FNMA
2000-07-31,2000-07-31,GAPTQ
2000-07-31,2000-07-31,INCLF
2000-07-31,2000-07-31,LEHMQ
2000-07-31,2000-07-31,MTLQQ
2000-07-31,2000-07-31,OWENQ
2000-07-31,2000-07-31,RDS.A
2000-07-31,2000-07-31,RSHCQ
2000-07-31,2000-07-31,UAWGQ
2000-07-31,2000-07-31,VSTNQ
2000-07-31,2000-07-31,WAMUQ
2000-07-31,2000-07-31,WCOEQ
2000-07-31,2000-07-31,WNDXQ
2000-08-31,2000-08-30,AABA
2000-08-31,2000-08-30,AAMRQ
2000-08-31,2000-08-30,ACKH
2000-08-31,2000-08-30,AFS.A
2000-08-31,2000-08-30,AZA.A
2000-08-31,2000-08-30,BF.B
2000-08-31,2000-08-30,BHMSQ
2000-08-31,2000-08-30,CCTYQ
2000-08-31,2000-08-30,CIT.A
2000-08-31,2000-08-30,COC.B
2000-08-31,2000-08-30,DALRQ
2000-08-31,2000-08-30,DCNAQ
2000-08-31,2000-08-30,DPHIQ
2000-08-31,2000-08-30,EKDKQ
2000-08-31,2000-08-30,ENRNQ
2000-08-31,2000-08-30,FMCC
2000-08-31,2000-08-30,FNMA
2000-08-31,2000-08-30,INCLF
2000-08-31,2000-08-30,LEHMQ
2000-08-31,2000-08-30,MTLQQ
2000-08-31,2000-08-30,OWENQ
2000-08-31,2000-08-30,RDS.A
2000-08-31,2000-08-30,RSHCQ
2000-08-31,2000-08-30,UAWGQ
2000-08-31,2000-08-30,VSTNQ
2000-08-31,2000-08-30,WAMUQ
2000-08-31,2000-08-30,WCOEQ
2000-08-31,2000-08-30,WNDXQ
2000-09-29,2000-09-27,AABA
2000-09-29,2000-09-27,AAMRQ
2000-09-29,2000-09-27,ACKH
2000-09-29,2000-09-27,AFS.A
2000-09-29,2000-09-27,AZA.A
2000-09-29,2000-09-27,BF.B
2000-09-29,2000-09-27,BHMSQ
2000-09-29,2000-09-27,CCTYQ
2000-09-29,2000-09-27,CIT.A
2000-09-29,2000-09-27,COC.B
2000-09-29,2000-09-27,DALRQ
2000-09-29,2000-09-27,DCNAQ
2000-09-29,2000-09-27,DPHIQ
2000-09-29,2000-09-27,EKDKQ
2000-09-29,2000-09-27,ENRNQ
2000-09-29,2000-09-27,FMCC
2000-09-29,2000-09-27,FNMA
2000-09-29,2000-09-27,INCLF
2000-09-29,2000-09-27,LEHMQ
2000-09-29,2000-09-27,MTLQQ
2000-09-29,2000-09-27,OWENQ
2000-09-29,2000-09-27,RDS.A
2000-09-29,2000-09-27,RSHCQ
2000-09-29,2000-09-27,UAWGQ
2000-09-29,2000-09-27,VSTNQ
2000-09-29,2000-09-27,WAMUQ
2000-09-29,2000-09-27,WCOEQ
2000-09-29,2000-09-27,WNDXQ
2000-10-31,2000-10-30,AABA
2000-10-31,2000-10-30,AAMRQ
2000-10-31,2000-10-30,ACKH
2000-10-31,2000-10-30,AFS.A
2000-10-31,2000-10-30,AZA.A
2000-10-31,2000-10-30,BF.B
2000-10-31,2000-10-30,BHMSQ
2000-10-31,2000-10-30,CCTYQ
2000-10-31,2000-10-30,CIT.A
2000-10-31,2000-10-30,COC.B
2000-10-31,2000-10-30,DALRQ
2000-10-31,2000-10-30,DCNAQ
2000-10-31,2000-10-30,DPHIQ
2000-10-31,2000-10-30,EKDKQ
2000-10-31,2000-10-30,ENRNQ
2000-10-31,2000-10-30,FMCC
2000-10-31,2000-10-30,FNMA
2000-10-31,2000-10-30,INCLF
2000-10-31,2000-10-30,LEHMQ
